cellID	cellType	SubjectName	clusterID
cell_62	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_63	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_64	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_65	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_66	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_67	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_68	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_69	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_70	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_71	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_72	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_73	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_74	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_75	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_76	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_77	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_78	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_79	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_80	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_81	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_82	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_83	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_84	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_85	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_86	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_87	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_88	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_89	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_90	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_91	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_92	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_93	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_94	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_95	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_96	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_97	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_98	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_99	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_100	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_101	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_102	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_103	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_104	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_105	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_106	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_107	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_108	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_109	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_110	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_111	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_112	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_113	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_114	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_115	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_116	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_117	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_118	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_119	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_120	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_121	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_122	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_123	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_124	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_125	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_126	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_127	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_128	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_129	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_130	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_131	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_132	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_133	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_134	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_135	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_136	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_137	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_138	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_139	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_140	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_141	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_142	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_143	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_144	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_145	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_146	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_147	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_148	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_149	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_150	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_151	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_152	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_153	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_154	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_155	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_156	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_157	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_158	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_159	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_160	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_161	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_162	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_163	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_164	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_165	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_166	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_167	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_168	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_169	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_170	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_171	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_172	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_173	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_174	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_175	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_176	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_177	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_178	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_179	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_180	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_181	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_182	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_183	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_184	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_185	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_186	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_187	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_188	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_189	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_190	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_191	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_192	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_193	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_194	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_195	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_196	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_197	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_198	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_199	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_200	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_201	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_202	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_203	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_204	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_205	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_206	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_207	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_208	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_209	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_210	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_211	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_212	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_213	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_214	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_215	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_216	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_217	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_218	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_219	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_220	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_221	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_222	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_223	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_224	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_225	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_226	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_227	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_228	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_229	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_230	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_231	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_232	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_233	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_234	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_235	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_236	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_237	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_238	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_239	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_240	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_241	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_242	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_243	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_244	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_245	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_246	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_247	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_248	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_249	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_250	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_251	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_252	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_253	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_254	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_255	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_256	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_257	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_258	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_259	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_260	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_261	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_262	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_263	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_264	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_265	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_266	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_267	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_268	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_269	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_270	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_271	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_272	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_273	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_274	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_275	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_276	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_277	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_278	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_279	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_280	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_281	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_282	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_283	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_284	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_285	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_286	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_287	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_288	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_289	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_290	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_291	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_292	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_293	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_294	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_295	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_296	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_297	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_298	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_299	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_300	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_301	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_302	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_303	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_304	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_305	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_306	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_307	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_308	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_309	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_310	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_311	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_312	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_313	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_314	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_315	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_316	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_317	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_318	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_319	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_320	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_321	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_322	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_323	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_324	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_325	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_326	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_327	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_328	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_329	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_330	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_331	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_332	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_333	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_334	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_335	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_336	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_337	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_338	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_339	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_340	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_341	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_342	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_343	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_344	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_345	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_346	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_347	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_348	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_349	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_350	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_351	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_352	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_353	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_354	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_355	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_356	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_357	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_358	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_359	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_360	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_361	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_362	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_363	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_364	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_365	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_366	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_367	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_368	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_369	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_370	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_371	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_372	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_373	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_374	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_375	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_376	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_377	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_378	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_379	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_380	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_381	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_382	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_383	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_384	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_385	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_386	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_387	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_388	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_389	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_390	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_391	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_392	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_393	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_394	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_395	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_396	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_397	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_398	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_399	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_400	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_401	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_402	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_403	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_404	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_405	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_406	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_407	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_408	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_409	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_410	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_411	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_412	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_413	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_414	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_415	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_416	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_417	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_418	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_419	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_420	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_421	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_422	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_423	regrouped.cluster.1	Mix_3	regrouped.cluster.1
