cellID	cellType	SubjectName
cell_209	cell_type_1	Mix_9
cell_210	cell_type_1	Mix_10
cell_211	cell_type_1	Mix_1
cell_212	cell_type_1	Mix_2
cell_213	cell_type_1	Mix_3
cell_214	cell_type_1	Mix_4
cell_215	cell_type_1	Mix_5
cell_216	cell_type_1	Mix_6
cell_217	cell_type_1	Mix_7
cell_218	cell_type_1	Mix_8
cell_219	cell_type_1	Mix_9
cell_220	cell_type_1	Mix_10
cell_221	cell_type_1	Mix_1
cell_222	cell_type_1	Mix_2
cell_223	cell_type_1	Mix_3
cell_224	cell_type_1	Mix_4
cell_225	cell_type_1	Mix_5
cell_226	cell_type_1	Mix_6
cell_227	cell_type_1	Mix_7
cell_228	cell_type_1	Mix_8
cell_229	cell_type_1	Mix_9
cell_230	cell_type_1	Mix_10
cell_231	cell_type_1	Mix_1
cell_232	cell_type_1	Mix_2
cell_233	cell_type_1	Mix_3
cell_234	cell_type_1	Mix_4
cell_235	cell_type_1	Mix_5
cell_236	cell_type_1	Mix_6
cell_237	cell_type_1	Mix_7
cell_238	cell_type_1	Mix_8
cell_239	cell_type_1	Mix_9
cell_240	cell_type_1	Mix_10
cell_241	cell_type_1	Mix_1
cell_242	cell_type_1	Mix_2
cell_243	cell_type_1	Mix_3
cell_244	cell_type_1	Mix_4
cell_245	cell_type_1	Mix_5
cell_246	cell_type_1	Mix_6
cell_247	cell_type_1	Mix_7
cell_248	cell_type_1	Mix_8
cell_249	cell_type_1	Mix_9
cell_250	cell_type_1	Mix_10
cell_251	cell_type_1	Mix_1
cell_252	cell_type_1	Mix_2
cell_253	cell_type_1	Mix_3
cell_254	cell_type_1	Mix_4
cell_255	cell_type_1	Mix_5
cell_256	cell_type_1	Mix_6
cell_257	cell_type_1	Mix_7
cell_258	cell_type_1	Mix_8
cell_259	cell_type_1	Mix_9
cell_260	cell_type_1	Mix_10
cell_261	cell_type_1	Mix_1
cell_262	cell_type_1	Mix_2
cell_263	cell_type_1	Mix_3
cell_264	cell_type_1	Mix_4
cell_265	cell_type_1	Mix_5
cell_266	cell_type_1	Mix_6
cell_267	cell_type_1	Mix_7
cell_268	cell_type_1	Mix_8
cell_269	cell_type_1	Mix_9
cell_270	cell_type_1	Mix_10
cell_271	cell_type_1	Mix_1
cell_272	cell_type_1	Mix_2
cell_273	cell_type_1	Mix_3
cell_274	cell_type_1	Mix_4
cell_275	cell_type_1	Mix_5
cell_276	cell_type_1	Mix_6
cell_277	cell_type_1	Mix_7
cell_278	cell_type_1	Mix_8
cell_279	cell_type_1	Mix_9
cell_280	cell_type_1	Mix_10
cell_281	cell_type_1	Mix_1
cell_282	cell_type_1	Mix_2
cell_283	cell_type_1	Mix_3
cell_284	cell_type_1	Mix_4
cell_285	cell_type_1	Mix_5
cell_286	cell_type_1	Mix_6
cell_287	cell_type_1	Mix_7
cell_288	cell_type_1	Mix_8
cell_289	cell_type_1	Mix_9
cell_290	cell_type_1	Mix_10
cell_291	cell_type_1	Mix_1
cell_292	cell_type_1	Mix_2
cell_293	cell_type_1	Mix_3
cell_294	cell_type_1	Mix_4
cell_295	cell_type_1	Mix_5
cell_296	cell_type_1	Mix_6
cell_297	cell_type_1	Mix_7
cell_298	cell_type_1	Mix_8
cell_299	cell_type_1	Mix_9
cell_300	cell_type_1	Mix_10
cell_301	cell_type_1	Mix_1
cell_302	cell_type_1	Mix_2
cell_303	cell_type_1	Mix_3
cell_304	cell_type_1	Mix_4
cell_305	cell_type_1	Mix_5
cell_306	cell_type_1	Mix_6
cell_307	cell_type_1	Mix_7
cell_308	cell_type_1	Mix_8
cell_309	cell_type_1	Mix_9
cell_310	cell_type_1	Mix_10
cell_311	cell_type_1	Mix_1
cell_312	cell_type_1	Mix_2
cell_313	cell_type_1	Mix_3
cell_314	cell_type_1	Mix_4
cell_315	cell_type_1	Mix_5
cell_316	cell_type_1	Mix_6
cell_317	cell_type_1	Mix_7
cell_318	cell_type_1	Mix_8
cell_319	cell_type_1	Mix_9
cell_320	cell_type_1	Mix_10
cell_321	cell_type_1	Mix_1
cell_322	cell_type_1	Mix_2
cell_323	cell_type_1	Mix_3
cell_324	cell_type_1	Mix_4
cell_325	cell_type_1	Mix_5
cell_326	cell_type_1	Mix_6
cell_327	cell_type_1	Mix_7
cell_328	cell_type_1	Mix_8
cell_329	cell_type_1	Mix_9
cell_330	cell_type_1	Mix_10
cell_331	cell_type_1	Mix_1
cell_332	cell_type_1	Mix_2
cell_333	cell_type_1	Mix_3
cell_334	cell_type_1	Mix_4
cell_335	cell_type_1	Mix_5
cell_336	cell_type_1	Mix_6
cell_337	cell_type_1	Mix_7
cell_338	cell_type_1	Mix_8
cell_339	cell_type_1	Mix_9
cell_340	cell_type_1	Mix_10
cell_341	cell_type_1	Mix_1
cell_342	cell_type_1	Mix_2
cell_343	cell_type_1	Mix_3
cell_344	cell_type_1	Mix_4
cell_345	cell_type_1	Mix_5
cell_346	cell_type_1	Mix_6
cell_347	cell_type_1	Mix_7
cell_348	cell_type_1	Mix_8
cell_349	cell_type_1	Mix_9
cell_350	cell_type_1	Mix_10
cell_351	cell_type_1	Mix_1
cell_352	cell_type_1	Mix_2
cell_353	cell_type_1	Mix_3
cell_354	cell_type_1	Mix_4
cell_355	cell_type_1	Mix_5
cell_356	cell_type_1	Mix_6
cell_357	cell_type_1	Mix_7
cell_358	cell_type_1	Mix_8
cell_359	cell_type_1	Mix_9
cell_360	cell_type_1	Mix_10
cell_361	cell_type_1	Mix_1
cell_362	cell_type_1	Mix_2
cell_363	cell_type_1	Mix_3
cell_364	cell_type_1	Mix_4
cell_365	cell_type_1	Mix_5
cell_366	cell_type_1	Mix_6
cell_367	cell_type_1	Mix_7
cell_368	cell_type_1	Mix_8
cell_369	cell_type_1	Mix_9
cell_370	cell_type_1	Mix_10
cell_371	cell_type_1	Mix_1
cell_372	cell_type_1	Mix_2
cell_373	cell_type_1	Mix_3
cell_374	cell_type_1	Mix_4
cell_375	cell_type_1	Mix_5
cell_376	cell_type_1	Mix_6
cell_377	cell_type_1	Mix_7
cell_378	cell_type_1	Mix_8
cell_379	cell_type_1	Mix_9
cell_380	cell_type_1	Mix_10
cell_381	cell_type_1	Mix_1
cell_382	cell_type_1	Mix_2
cell_383	cell_type_1	Mix_3
cell_384	cell_type_1	Mix_4
cell_385	cell_type_1	Mix_5
cell_386	cell_type_1	Mix_6
cell_387	cell_type_1	Mix_7
cell_388	cell_type_1	Mix_8
cell_389	cell_type_1	Mix_9
cell_390	cell_type_1	Mix_10
cell_391	cell_type_1	Mix_1
cell_392	cell_type_1	Mix_2
cell_393	cell_type_1	Mix_3
cell_394	cell_type_1	Mix_4
cell_395	cell_type_1	Mix_5
cell_396	cell_type_1	Mix_6
cell_397	cell_type_1	Mix_7
cell_398	cell_type_1	Mix_8
cell_399	cell_type_1	Mix_9
cell_400	cell_type_1	Mix_10
cell_401	cell_type_1	Mix_1
cell_402	cell_type_1	Mix_2
cell_403	cell_type_1	Mix_3
cell_404	cell_type_1	Mix_4
cell_405	cell_type_1	Mix_5
cell_406	cell_type_1	Mix_6
cell_407	cell_type_1	Mix_7
cell_408	cell_type_1	Mix_8
cell_409	cell_type_1	Mix_9
cell_410	cell_type_1	Mix_10
cell_411	cell_type_1	Mix_1
cell_412	cell_type_1	Mix_2
cell_413	cell_type_1	Mix_3
cell_414	cell_type_1	Mix_4
cell_415	cell_type_1	Mix_5
cell_416	cell_type_1	Mix_6
cell_417	cell_type_1	Mix_7
cell_418	cell_type_1	Mix_8
cell_419	cell_type_1	Mix_9
cell_420	cell_type_1	Mix_10
cell_421	cell_type_1	Mix_1
cell_422	cell_type_1	Mix_2
cell_423	cell_type_1	Mix_3
cell_424	cell_type_1	Mix_4
cell_425	cell_type_1	Mix_5
cell_426	cell_type_1	Mix_6
cell_427	cell_type_1	Mix_7
cell_428	cell_type_1	Mix_8
cell_429	cell_type_1	Mix_9
cell_430	cell_type_1	Mix_10
cell_431	cell_type_1	Mix_1
cell_432	cell_type_1	Mix_2
cell_433	cell_type_1	Mix_3
cell_434	cell_type_1	Mix_4
cell_435	cell_type_1	Mix_5
cell_436	cell_type_1	Mix_6
cell_437	cell_type_1	Mix_7
cell_438	cell_type_1	Mix_8
cell_439	cell_type_1	Mix_9
cell_440	cell_type_1	Mix_10
cell_441	cell_type_1	Mix_1
cell_442	cell_type_1	Mix_2
cell_443	cell_type_1	Mix_3
cell_444	cell_type_1	Mix_4
cell_445	cell_type_1	Mix_5
cell_446	cell_type_1	Mix_6
cell_447	cell_type_1	Mix_7
cell_448	cell_type_1	Mix_8
cell_449	cell_type_1	Mix_9
cell_450	cell_type_1	Mix_10
cell_451	cell_type_1	Mix_1
cell_452	cell_type_1	Mix_2
cell_453	cell_type_1	Mix_3
cell_454	cell_type_1	Mix_4
cell_455	cell_type_1	Mix_5
cell_456	cell_type_1	Mix_6
cell_457	cell_type_1	Mix_7
cell_458	cell_type_1	Mix_8
cell_459	cell_type_1	Mix_9
cell_460	cell_type_1	Mix_10
cell_461	cell_type_1	Mix_1
cell_462	cell_type_1	Mix_2
cell_463	cell_type_1	Mix_3
cell_464	cell_type_1	Mix_4
cell_465	cell_type_1	Mix_5
cell_466	cell_type_1	Mix_6
cell_467	cell_type_1	Mix_7
cell_468	cell_type_1	Mix_8
cell_469	cell_type_1	Mix_9
cell_470	cell_type_1	Mix_10
cell_471	cell_type_1	Mix_1
cell_472	cell_type_1	Mix_2
cell_473	cell_type_1	Mix_3
cell_474	cell_type_1	Mix_4
cell_475	cell_type_1	Mix_5
cell_476	cell_type_1	Mix_6
cell_477	cell_type_1	Mix_7
cell_478	cell_type_1	Mix_8
cell_479	cell_type_1	Mix_9
cell_480	cell_type_1	Mix_10
cell_481	cell_type_1	Mix_1
cell_482	cell_type_1	Mix_2
cell_483	cell_type_1	Mix_3
cell_484	cell_type_1	Mix_4
cell_485	cell_type_1	Mix_5
cell_486	cell_type_1	Mix_6
cell_487	cell_type_1	Mix_7
cell_488	cell_type_1	Mix_8
cell_489	cell_type_1	Mix_9
cell_490	cell_type_1	Mix_10
cell_491	cell_type_1	Mix_1
cell_492	cell_type_1	Mix_2
cell_493	cell_type_1	Mix_3
cell_494	cell_type_1	Mix_4
cell_495	cell_type_1	Mix_5
cell_496	cell_type_1	Mix_6
cell_497	cell_type_1	Mix_7
cell_498	cell_type_1	Mix_8
cell_499	cell_type_1	Mix_9
cell_500	cell_type_1	Mix_10
cell_501	cell_type_1	Mix_1
cell_502	cell_type_1	Mix_2
cell_503	cell_type_1	Mix_3
cell_504	cell_type_1	Mix_4
cell_505	cell_type_1	Mix_5
cell_506	cell_type_1	Mix_6
cell_507	cell_type_1	Mix_7
cell_508	cell_type_1	Mix_8
cell_509	cell_type_1	Mix_9
cell_510	cell_type_1	Mix_10
cell_511	cell_type_1	Mix_1
cell_512	cell_type_1	Mix_2
cell_513	cell_type_1	Mix_3
cell_514	cell_type_1	Mix_4
cell_515	cell_type_1	Mix_5
cell_516	cell_type_1	Mix_6
cell_517	cell_type_1	Mix_7
cell_518	cell_type_1	Mix_8
cell_519	cell_type_1	Mix_9
cell_520	cell_type_1	Mix_10
cell_521	cell_type_1	Mix_1
cell_522	cell_type_1	Mix_2
cell_523	cell_type_1	Mix_3
cell_524	cell_type_1	Mix_4
cell_525	cell_type_1	Mix_5
cell_526	cell_type_1	Mix_6
cell_527	cell_type_1	Mix_7
cell_528	cell_type_1	Mix_8
cell_529	cell_type_1	Mix_9
cell_530	cell_type_1	Mix_10
cell_531	cell_type_1	Mix_1
cell_532	cell_type_1	Mix_2
cell_533	cell_type_1	Mix_3
cell_534	cell_type_1	Mix_4
cell_535	cell_type_1	Mix_5
cell_536	cell_type_1	Mix_6
cell_537	cell_type_1	Mix_7
cell_538	cell_type_1	Mix_8
cell_539	cell_type_1	Mix_9
cell_540	cell_type_1	Mix_10
cell_541	cell_type_1	Mix_1
cell_542	cell_type_1	Mix_2
cell_543	cell_type_1	Mix_3
cell_544	cell_type_1	Mix_4
cell_545	cell_type_1	Mix_5
cell_546	cell_type_1	Mix_6
cell_547	cell_type_1	Mix_7
cell_548	cell_type_1	Mix_8
cell_549	cell_type_1	Mix_9
cell_550	cell_type_1	Mix_10
cell_551	cell_type_1	Mix_1
cell_552	cell_type_1	Mix_2
cell_553	cell_type_1	Mix_3
cell_554	cell_type_1	Mix_4
cell_555	cell_type_1	Mix_5
cell_556	cell_type_1	Mix_6
cell_557	cell_type_1	Mix_7
cell_558	cell_type_1	Mix_8
cell_559	cell_type_1	Mix_9
cell_560	cell_type_1	Mix_10
cell_561	cell_type_1	Mix_1
cell_562	cell_type_1	Mix_2
cell_563	cell_type_1	Mix_3
cell_564	cell_type_1	Mix_4
cell_565	cell_type_1	Mix_5
cell_566	cell_type_1	Mix_6
cell_567	cell_type_1	Mix_7
cell_568	cell_type_1	Mix_8
cell_569	cell_type_1	Mix_9
cell_570	cell_type_1	Mix_10
cell_571	cell_type_1	Mix_1
cell_572	cell_type_1	Mix_2
cell_573	cell_type_1	Mix_3
cell_574	cell_type_1	Mix_4
cell_575	cell_type_1	Mix_5
cell_576	cell_type_1	Mix_6
cell_577	cell_type_1	Mix_7
cell_578	cell_type_1	Mix_8
cell_579	cell_type_1	Mix_9
cell_580	cell_type_1	Mix_10
cell_581	cell_type_1	Mix_1
cell_582	cell_type_1	Mix_2
cell_583	cell_type_1	Mix_3
cell_584	cell_type_1	Mix_4
cell_585	cell_type_1	Mix_5
cell_586	cell_type_1	Mix_6
cell_587	cell_type_1	Mix_7
cell_588	cell_type_1	Mix_8
cell_589	cell_type_1	Mix_9
cell_590	cell_type_1	Mix_10
cell_591	cell_type_1	Mix_1
cell_592	cell_type_1	Mix_2
cell_593	cell_type_1	Mix_3
cell_594	cell_type_1	Mix_4
cell_595	cell_type_1	Mix_5
cell_596	cell_type_1	Mix_6
cell_597	cell_type_1	Mix_7
cell_598	cell_type_1	Mix_8
cell_599	cell_type_1	Mix_9
cell_600	cell_type_1	Mix_10
cell_601	cell_type_1	Mix_1
cell_602	cell_type_1	Mix_2
cell_603	cell_type_1	Mix_3
cell_604	cell_type_1	Mix_4
cell_605	cell_type_1	Mix_5
cell_606	cell_type_1	Mix_6
cell_607	cell_type_1	Mix_7
cell_608	cell_type_1	Mix_8
cell_609	cell_type_1	Mix_9
cell_610	cell_type_1	Mix_10
cell_611	cell_type_1	Mix_1
cell_612	cell_type_1	Mix_2
cell_613	cell_type_1	Mix_3
cell_614	cell_type_1	Mix_4
cell_615	cell_type_1	Mix_5
cell_616	cell_type_1	Mix_6
cell_617	cell_type_1	Mix_7
cell_618	cell_type_1	Mix_8
cell_619	cell_type_1	Mix_9
cell_620	cell_type_1	Mix_10
cell_621	cell_type_1	Mix_1
cell_622	cell_type_1	Mix_2
cell_623	cell_type_1	Mix_3
cell_624	cell_type_1	Mix_4
cell_625	cell_type_1	Mix_5
cell_626	cell_type_1	Mix_6
cell_627	cell_type_1	Mix_7
cell_628	cell_type_1	Mix_8
cell_629	cell_type_1	Mix_9
cell_630	cell_type_1	Mix_10
cell_631	cell_type_1	Mix_1
cell_632	cell_type_1	Mix_2
cell_633	cell_type_1	Mix_3
cell_634	cell_type_1	Mix_4
cell_635	cell_type_1	Mix_5
cell_636	cell_type_1	Mix_6
cell_637	cell_type_1	Mix_7
cell_638	cell_type_1	Mix_8
cell_639	cell_type_1	Mix_9
cell_640	cell_type_1	Mix_10
cell_641	cell_type_1	Mix_1
cell_642	cell_type_1	Mix_2
cell_643	cell_type_1	Mix_3
cell_644	cell_type_1	Mix_4
cell_645	cell_type_1	Mix_5
cell_646	cell_type_1	Mix_6
cell_647	cell_type_1	Mix_7
cell_648	cell_type_1	Mix_8
cell_649	cell_type_1	Mix_9
cell_650	cell_type_1	Mix_10
cell_651	cell_type_1	Mix_1
cell_652	cell_type_1	Mix_2
cell_653	cell_type_1	Mix_3
cell_654	cell_type_1	Mix_4
cell_655	cell_type_1	Mix_5
cell_656	cell_type_1	Mix_6
cell_657	cell_type_1	Mix_7
cell_658	cell_type_1	Mix_8
cell_659	cell_type_1	Mix_9
cell_660	cell_type_1	Mix_10
cell_661	cell_type_1	Mix_1
cell_662	cell_type_1	Mix_2
cell_663	cell_type_1	Mix_3
cell_664	cell_type_1	Mix_4
cell_665	cell_type_1	Mix_5
cell_666	cell_type_1	Mix_6
cell_667	cell_type_1	Mix_7
cell_668	cell_type_1	Mix_8
cell_669	cell_type_1	Mix_9
cell_670	cell_type_1	Mix_10
cell_671	cell_type_1	Mix_1
cell_672	cell_type_1	Mix_2
cell_673	cell_type_1	Mix_3
cell_674	cell_type_1	Mix_4
cell_675	cell_type_1	Mix_5
cell_676	cell_type_1	Mix_6
cell_677	cell_type_1	Mix_7
cell_678	cell_type_1	Mix_8
cell_679	cell_type_1	Mix_9
cell_680	cell_type_1	Mix_10
cell_681	cell_type_1	Mix_1
cell_682	cell_type_1	Mix_2
cell_683	cell_type_1	Mix_3
cell_684	cell_type_1	Mix_4
cell_685	cell_type_1	Mix_5
cell_686	cell_type_1	Mix_6
cell_687	cell_type_1	Mix_7
cell_688	cell_type_1	Mix_8
cell_689	cell_type_1	Mix_9
cell_690	cell_type_1	Mix_10
cell_691	cell_type_1	Mix_1
cell_692	cell_type_1	Mix_2
cell_693	cell_type_1	Mix_3
cell_694	cell_type_1	Mix_4
cell_695	cell_type_1	Mix_5
cell_696	cell_type_1	Mix_6
cell_697	cell_type_1	Mix_7
cell_698	cell_type_1	Mix_8
cell_699	cell_type_1	Mix_9
cell_700	cell_type_1	Mix_10
cell_701	cell_type_1	Mix_1
cell_702	cell_type_1	Mix_2
cell_703	cell_type_1	Mix_3
cell_704	cell_type_1	Mix_4
cell_705	cell_type_1	Mix_5
cell_706	cell_type_1	Mix_6
cell_707	cell_type_1	Mix_7
cell_708	cell_type_1	Mix_8
cell_709	cell_type_1	Mix_9
cell_710	cell_type_1	Mix_10
cell_711	cell_type_1	Mix_1
cell_712	cell_type_1	Mix_2
cell_713	cell_type_1	Mix_3
cell_714	cell_type_1	Mix_4
cell_715	cell_type_1	Mix_5
cell_716	cell_type_1	Mix_6
cell_717	cell_type_1	Mix_7
cell_718	cell_type_1	Mix_8
cell_719	cell_type_1	Mix_9
cell_720	cell_type_1	Mix_10
cell_721	cell_type_1	Mix_1
cell_722	cell_type_1	Mix_2
cell_723	cell_type_1	Mix_3
cell_724	cell_type_1	Mix_4
cell_725	cell_type_1	Mix_5
cell_726	cell_type_1	Mix_6
cell_727	cell_type_1	Mix_7
cell_728	cell_type_1	Mix_8
cell_729	cell_type_1	Mix_9
cell_730	cell_type_1	Mix_10
cell_731	cell_type_1	Mix_1
cell_732	cell_type_1	Mix_2
cell_733	cell_type_1	Mix_3
cell_734	cell_type_1	Mix_4
cell_735	cell_type_1	Mix_5
cell_736	cell_type_1	Mix_6
cell_737	cell_type_1	Mix_7
cell_738	cell_type_1	Mix_8
cell_739	cell_type_1	Mix_9
cell_740	cell_type_1	Mix_10
cell_741	cell_type_1	Mix_1
cell_742	cell_type_1	Mix_2
cell_743	cell_type_1	Mix_3
cell_744	cell_type_1	Mix_4
cell_745	cell_type_1	Mix_5
cell_746	cell_type_1	Mix_6
cell_747	cell_type_1	Mix_7
cell_748	cell_type_1	Mix_8
cell_749	cell_type_1	Mix_9
cell_750	cell_type_1	Mix_10
cell_751	cell_type_1	Mix_1
cell_752	cell_type_1	Mix_2
cell_753	cell_type_1	Mix_3
cell_754	cell_type_1	Mix_4
cell_755	cell_type_1	Mix_5
cell_756	cell_type_1	Mix_6
cell_757	cell_type_1	Mix_7
cell_758	cell_type_1	Mix_8
cell_759	cell_type_1	Mix_9
cell_760	cell_type_1	Mix_10
cell_761	cell_type_1	Mix_1
cell_762	cell_type_1	Mix_2
cell_763	cell_type_1	Mix_3
cell_764	cell_type_1	Mix_4
cell_765	cell_type_1	Mix_5
cell_766	cell_type_1	Mix_6
cell_767	cell_type_1	Mix_7
cell_768	cell_type_1	Mix_8
cell_769	cell_type_1	Mix_9
cell_770	cell_type_1	Mix_10
cell_771	cell_type_1	Mix_1
cell_772	cell_type_1	Mix_2
cell_773	cell_type_1	Mix_3
cell_774	cell_type_1	Mix_4
cell_775	cell_type_1	Mix_5
cell_776	cell_type_1	Mix_6
